RED1,RED2,OCCURRENCE,ISSUE
1,2,81,21134 21089 21036 20129 20120 20085 20070 19073 19014 18132 18107 18097 18090 18081 18050 18029 17117 17077 17042 17036 17018 16148 16140 16051 16020 16015 15138 15073 15054 15010 14148 14130 14121 14085 14032 14026 13123 13111 13104 13096 13093 13039 13027 13019 12137 12066 12039 12032 12014 11144 11134 11089 11071 11021 10130 10120 10056 10052 10022 10013 09120 09106 09101 09070 09064 09031 08064 08061 07136 07060 06119 06026 06021 05084 05052 04028 04020 04001 03081 03070 03010 
1,3,90,21133 21124 21081 21079 21020 20123 20120 20113 20064 20058 19079 19014 18135 18101 18056 18049 18040 17110 17075 17067 17023 17018 16145 16101 16089 16079 16075 16044 16039 15150 15128 15121 15112 15106 15093 15072 15060 15010 14074 14072 14034 13130 13111 13066 12130 12015 12010 11111 11109 11070 11037 11013 11006 10148 10110 10098 10078 10066 10056 10028 10017 10014 10013 09149 09135 09072 09031 09024 09005 08129 08092 07087 07059 07054 07041 06151 06118 06095 06074 05088 05027 05018 04117 04116 04087 04028 04015 04001 03083 03006 
1,4,90,21132 21106 21065 21045 21024 21010 20132 20127 20120 20115 20070 20037 20026 20008 19146 19134 19101 19100 19085 18090 18067 18065 18053 18050 18049 18043 17101 17077 17076 17067 17066 17042 17038 17023 17003 16051 15144 15118 15106 15094 15020 14054 14034 14004 13104 13081 13067 13027 13009 12137 12120 12001 11123 11096 11037 11029 11028 11010 10127 10058 10015 09136 09021 08153 08152 08137 08094 08085 08051 07153 07134 07109 07087 07059 07035 07026 07008 06151 06147 06102 05122 05027 05004 04096 04092 04084 04033 04011 03085 03070 
1,5,80,21081 21070 21032 21008 20129 20114 20085 20081 20055 19113 19104 19035 19006 18107 18096 18087 18034 17085 17084 17036 16140 16103 16095 15113 15072 15045 15031 14148 14099 14091 14054 14026 14025 13140 13019 12149 12146 12091 12048 12039 12014 12004 12001 11138 11123 11111 11102 11070 11028 11010 11006 10120 10029 09144 09139 09101 09021 09007 08128 08072 08061 07140 07115 07087 07050 07008 07005 06109 06096 06021 06013 05152 05135 05030 05016 04116 04028 04027 04015 03025 
1,6,91,21132 21073 21036 21024 21020 20092 20088 20070 20040 20038 20020 20008 19149 19134 19079 19073 19055 19045 19043 18135 18126 18113 18065 18056 18043 18037 17141 17135 17085 17075 17070 17066 17035 16139 16137 16125 16075 16052 15094 15077 14146 14123 14100 14084 14074 14067 14026 13123 13112 13111 13095 13062 13021 12137 12114 12015 11134 11072 11037 10120 10100 10090 10054 10049 10048 10038 10028 10017 09023 08152 08088 08071 07151 07143 07095 07071 07061 07059 07005 06151 06107 06013 05120 05073 05044 05027 05018 05016 04114 04067 03062 
1,7,100,22044 22022 21120 21106 21104 21096 21089 21071 21020 21008 20113 20100 20064 20055 20049 20038 19130 19037 19035 19009 18153 18149 18114 18111 18037 17141 17135 17131 17090 17062 17042 17030 16145 16039 15144 15115 15113 15070 15063 15056 15054 15031 15020 15015 15007 15001 14120 14072 14070 14067 14036 13062 13020 12146 12138 12129 12121 12091 11134 11116 11096 11077 11051 10148 10130 10067 10038 10014 09154 09023 08124 08087 08064 08039 07109 07061 07059 06153 06118 06016 05133 05122 05121 05119 05088 05084 05082 05045 05025 05001 04117 04087 04067 04047 04030 04012 04008 04001 03033 03003 
1,8,90,22044 21120 21065 21032 19145 19116 19071 19024 18149 18126 18043 18040 18037 18010 18001 17117 17076 17049 17038 17015 17003 16125 15150 15138 15128 15115 15113 15109 15077 15056 15035 15010 14110 14036 14034 14012 13111 13093 13047 13042 13020 12133 12121 12091 11077 10127 10117 10114 10112 10105 10098 10087 10085 10082 10060 10056 10054 10048 09120 09041 09005 08088 08075 08051 07109 07095 07087 07080 07060 07050 07035 06140 06118 06111 06107 05144 05073 05068 05004 05001 04116 04107 04092 04087 04084 04058 04047 04033 04023 03010 
1,9,80,21143 21072 21059 21020 20120 20119 20091 20085 20049 20026 20025 20020 19147 19130 19116 19101 19079 19035 18132 18126 18113 18096 18067 18029 17076 17058 17030 17015 16137 16095 16077 16051 15109 15076 15063 15035 15007 15001 14115 14100 14084 14070 14036 13067 13064 13010 13009 12129 12127 12108 12066 12001 11144 11109 11029 11010 11007 10105 10078 10059 10009 09077 09070 08073 08064 08029 07132 07041 06096 05090 05073 05030 05004 04114 04033 04030 04027 04020 04009 03007 
1,10,83,22037 22031 21098 21079 21024 20120 20113 20025 20008 19146 19035 19023 19009 19006 18149 18138 18135 18132 18090 18087 18053 18050 17131 17090 17067 17042 17036 16142 16137 16079 16044 16020 16003 15139 15112 15077 15076 15055 15054 15006 14130 14115 14100 14099 14094 14084 14025 13081 12032 12015 12004 11144 11072 11029 10120 10090 10067 10049 10048 09144 09101 09070 08124 08072 08051 08045 08039 07151 07134 07115 06118 06115 05068 05045 05025 04028 04027 04009 04008 04001 03023 03006 03003 
1,11,92,22031 22022 21143 21096 21070 21067 21059 21036 21024 21020 21010 20132 20114 20091 20058 20043 20037 20008 19130 19055 18135 18053 18049 18034 18016 18001 17141 17131 17117 17101 17084 17023 16148 16113 16099 15150 15128 15118 15006 14123 14115 14110 14099 14085 14056 14054 14036 14026 14012 13123 13105 13047 13010 12133 12127 12114 12004 11116 11089 11072 11051 11049 10114 10078 10059 10058 10038 10017 09093 09080 08074 08050 07151 07135 07061 07041 06153 06140 06111 06100 06053 05119 05106 05091 05082 05025 04084 04058 04047 03085 03027 03025 
