RED1,RED2,RED3,RED4,BLUE,OCCURRENCE,ISSUE
1,2,3,4,12,1,20120 
1,2,3,5,12,1,04028 
1,2,3,6,13,1,13111 
1,2,3,7,7,1,04001 
1,2,3,8,7,1,10056 
1,2,3,8,9,1,15010 
1,2,3,8,13,1,13111 
1,2,3,9,12,1,20120 
1,2,3,10,7,1,04001 
1,2,3,10,12,2,20120 04028 
1,2,3,13,7,1,10056 
1,2,3,14,3,1,19014 
1,2,3,15,1,1,09031 
1,2,3,16,12,1,10013 
1,2,3,17,9,1,17018 
1,2,3,18,12,1,10013 
1,2,3,19,3,1,19014 
1,2,3,21,9,1,15010 
1,2,3,22,12,1,04028 
1,2,3,23,12,1,10013 
1,2,3,25,7,1,04001 
1,2,3,25,9,1,17018 
1,2,3,30,1,1,09031 
1,2,3,31,9,2,17018 15010 
1,2,3,32,7,1,10056 
1,2,3,33,1,1,09031 
1,2,3,33,3,1,19014 
1,2,3,33,13,1,13111 
1,2,4,6,7,1,12137 
1,2,4,6,15,1,20070 
1,2,4,7,4,1,17042 
1,2,4,9,12,2,20120 16051 
1,2,4,10,4,1,17042 
1,2,4,10,7,2,18090 18050 
1,2,4,10,12,1,20120 
1,2,4,12,12,1,13027 
1,2,4,13,7,1,12137 
1,2,4,14,7,1,18090 
1,2,4,15,11,1,13104 
1,2,4,15,12,1,16051 
1,2,4,15,14,1,17077 
1,2,4,17,7,1,12137 
1,2,4,17,8,1,03070 
1,2,4,17,11,1,13104 
1,2,4,17,14,1,17077 
1,2,4,18,7,1,18050 
1,2,4,18,8,1,03070 
1,2,4,19,7,1,18050 
1,2,4,19,8,1,03070 
1,2,4,19,15,1,20070 
1,2,4,21,12,1,13027 
1,2,4,21,15,1,20070 
1,2,4,22,14,1,17077 
1,2,4,23,4,1,17042 
1,2,4,23,7,1,18090 
1,2,4,24,12,1,13027 
1,2,4,28,11,1,13104 
1,2,4,33,12,1,16051 
1,2,5,6,14,1,14026 
1,2,5,6,16,1,10120 
1,2,5,9,16,1,20085 
1,2,5,10,12,1,04028 
1,2,5,10,14,1,09101 
1,2,5,10,15,1,17036 
1,2,5,10,16,1,10120 
1,2,5,11,14,1,14026 
1,2,5,12,1,1,18107 
1,2,5,12,6,1,08061 
1,2,5,12,13,1,14148 
1,2,5,13,8,1,12039 
1,2,5,15,4,1,20129 
1,2,5,15,13,1,14148 
1,2,5,16,6,1,13019 
1,2,5,16,12,1,12014 
1,2,5,16,13,1,14148 
1,2,5,17,10,1,16140 
1,2,5,19,14,1,09101 
1,2,5,19,16,1,20085 
1,2,5,20,1,1,18107 
1,2,5,20,6,1,13019 
1,2,5,20,9,1,06021 
1,2,5,21,9,1,06021 
1,2,5,22,1,1,18107 
1,2,5,22,8,1,12039 
1,2,5,22,9,1,06021 
1,2,5,22,12,1,04028 
1,2,5,23,14,1,14026 
1,2,5,24,14,1,09101 
1,2,5,24,15,1,17036 
1,2,5,24,16,1,20085 
1,2,5,26,6,2,13019 08061 
1,2,5,26,10,1,16140 
1,2,5,27,15,1,17036 
1,2,5,28,4,1,20129 
1,2,5,28,12,1,12014 
1,2,5,29,8,1,12039 
1,2,5,29,16,1,10120 
1,2,5,30,12,1,12014 
1,2,5,31,6,1,08061 
1,2,5,32,10,1,16140 
1,2,5,33,4,1,20129 
1,2,6,7,10,1,11134 
1,2,6,8,13,1,13111 
1,2,6,10,16,1,10120 
1,2,6,11,2,1,13123 
1,2,6,11,11,1,21036 
1,2,6,11,14,1,14026 
1,2,6,12,8,1,19073 
1,2,6,13,7,1,12137 
1,2,6,16,8,1,19073 
1,2,6,17,2,1,13123 
1,2,6,17,7,1,12137 
1,2,6,18,8,1,19073 
1,2,6,19,15,1,20070 
1,2,6,21,11,1,21036 
1,2,6,21,15,1,20070 
1,2,6,23,14,1,14026 
1,2,6,25,2,1,13123 
1,2,6,26,11,1,21036 
1,2,6,29,16,1,10120 
1,2,6,30,10,1,11134 
1,2,6,31,10,1,11134 
1,2,6,33,13,1,13111 
1,2,7,9,12,1,08064 
1,2,7,10,4,1,17042 
1,2,7,10,7,2,15054 04001 
1,2,7,12,12,1,08064 
1,2,7,13,12,1,21089 
1,2,7,15,3,1,05084 
1,2,7,15,16,1,10130 
1,2,7,18,12,1,08064 
1,2,7,19,3,1,05084 
1,2,7,20,3,1,05084 
1,2,7,21,16,1,10130 
1,2,7,22,7,1,15054 
1,2,7,23,4,1,17042 
1,2,7,23,12,1,21089 
1,2,7,24,12,1,21089 
1,2,7,25,7,1,04001 
1,2,7,26,7,1,15054 
1,2,7,30,10,1,11134 
1,2,7,31,10,1,11134 
1,2,7,31,16,1,10130 
1,2,8,11,9,1,17117 
1,2,8,12,16,1,09120 
1,2,8,13,7,1,10056 
1,2,8,13,13,1,03010 
1,2,8,14,9,1,17117 
1,2,8,16,5,1,07060 
1,2,8,16,11,1,15138 
1,2,8,16,16,1,09120 
1,2,8,17,13,1,03010 
1,2,8,19,5,1,07060 
1,2,8,19,11,1,15138 
1,2,8,21,9,2,17117 15010 
1,2,8,24,11,1,15138 
1,2,8,24,13,1,03010 
1,2,8,26,14,1,13093 
1,2,8,29,5,1,07060 
1,2,8,29,14,1,13093 
1,2,8,30,16,1,09120 
1,2,8,31,9,1,15010 
1,2,8,31,14,1,13093 
1,2,8,32,7,1,10056 
1,2,8,33,13,1,13111 
1,2,9,10,3,1,11144 
1,2,9,10,6,1,18132 
1,2,9,10,10,1,09070 
1,2,9,10,12,1,20120 
1,2,9,12,12,1,08064 
1,2,9,14,5,1,18029 
1,2,9,15,6,1,18132 
1,2,9,15,12,1,16051 
1,2,9,16,3,1,11144 
1,2,9,18,12,1,08064 
1,2,9,19,16,1,20085 
1,2,9,21,10,1,09070 
1,2,9,22,4,1,04020 
1,2,9,22,5,1,18029 
1,2,9,22,6,1,18132 
1,2,9,24,3,1,11144 
1,2,9,24,16,1,20085 
1,2,9,25,5,1,18029 
1,2,9,26,12,1,12066 
1,2,9,28,4,1,04020 
1,2,9,29,12,1,12066 
1,2,9,31,4,1,04020 
1,2,9,31,10,1,09070 
1,2,9,33,12,2,16051 12066 
1,2,10,12,10,1,16020 
1,2,10,14,7,1,18090 
1,2,10,15,6,1,18132 
1,2,10,16,3,1,11144 
1,2,10,17,4,1,12032 
1,2,10,18,7,1,18050 
1,2,10,19,7,1,18050 
1,2,10,19,14,1,09101 
1,2,10,21,10,1,09070 
1,2,10,22,4,1,12032 
1,2,10,22,6,1,18132 
1,2,10,22,7,1,15054 
1,2,10,22,10,1,16020 
1,2,10,22,12,1,04028 
1,2,10,23,4,1,17042 
1,2,10,23,7,1,18090 
1,2,10,24,3,1,11144 
1,2,10,24,4,1,12032 
1,2,10,24,10,2,16020 14130 
1,2,10,24,14,1,09101 
1,2,10,24,15,1,17036 
1,2,10,25,7,1,04001 
1,2,10,26,7,1,15054 
1,2,10,27,15,1,17036 
1,2,10,29,16,1,10120 
1,2,10,30,10,1,14130 
1,2,10,31,10,1,09070 
1,2,10,33,10,1,14130 
1,2,11,14,9,1,17117 
1,2,11,17,2,1,13123 
1,2,11,19,8,1,14085 
1,2,11,20,14,1,16148 
1,2,11,21,9,1,17117 
1,2,11,21,11,1,21036 
1,2,11,23,8,1,14085 
1,2,11,23,14,1,14026 
1,2,11,24,12,1,11089 
1,2,11,25,2,1,13123 
1,2,11,26,11,1,21036 
1,2,11,26,14,1,16148 
1,2,11,29,8,1,14085 
1,2,11,29,12,1,11089 
1,2,11,30,12,1,11089 
1,2,11,30,14,1,16148 
1,2,12,15,13,1,14148 
1,2,12,16,3,1,18081 
1,2,12,16,8,1,19073 
1,2,12,16,13,1,14148 
1,2,12,16,16,1,09120 
1,2,12,18,8,1,19073 
1,2,12,18,12,1,08064 
1,2,12,20,1,1,18107 
1,2,12,20,3,1,18081 
1,2,12,21,12,1,13027 
1,2,12,22,1,1,18107 
1,2,12,22,10,1,16020 
1,2,12,24,10,1,16020 
1,2,12,24,12,1,13027 
1,2,12,26,3,1,18081 
1,2,12,26,6,1,08061 
1,2,12,30,16,1,09120 
1,2,12,31,6,1,08061 
1,2,13,17,7,1,12137 
1,2,13,17,13,1,03010 
1,2,13,22,8,1,12039 
1,2,13,22,9,1,14121 
1,2,13,23,12,1,21089 
1,2,13,24,12,1,21089 
1,2,13,24,13,1,03010 
1,2,13,28,9,1,14121 
1,2,13,29,8,1,12039 
1,2,13,30,9,1,14121 
1,2,13,32,7,1,10056 
1,2,14,15,6,1,13039 
1,2,14,17,1,1,05052 
1,2,14,18,8,1,11021 
1,2,14,19,3,1,19014 
1,2,14,20,2,1,06119 
1,2,14,21,9,1,17117 
1,2,14,22,5,1,18029 
