RED1,RED2,RED3,BLUE,OCCURRENCE,ISSUE
1,2,3,1,1,09031 
1,2,3,3,1,19014 
1,2,3,7,2,10056 04001 
1,2,3,9,2,17018 15010 
1,2,3,12,3,20120 10013 04028 
1,2,3,13,1,13111 
1,2,4,4,1,17042 
1,2,4,7,3,18090 18050 12137 
1,2,4,8,1,03070 
1,2,4,11,1,13104 
1,2,4,12,3,20120 16051 13027 
1,2,4,14,1,17077 
1,2,4,15,1,20070 
1,2,5,1,1,18107 
1,2,5,4,1,20129 
1,2,5,6,2,13019 08061 
1,2,5,8,1,12039 
1,2,5,9,1,06021 
1,2,5,10,1,16140 
1,2,5,12,2,12014 04028 
1,2,5,13,1,14148 
1,2,5,14,2,14026 09101 
1,2,5,15,1,17036 
1,2,5,16,2,20085 10120 
1,2,6,2,1,13123 
1,2,6,7,1,12137 
1,2,6,8,1,19073 
1,2,6,10,1,11134 
1,2,6,11,1,21036 
1,2,6,13,1,13111 
1,2,6,14,1,14026 
1,2,6,15,1,20070 
1,2,6,16,1,10120 
1,2,7,3,1,05084 
1,2,7,4,1,17042 
1,2,7,7,2,15054 04001 
1,2,7,10,1,11134 
1,2,7,12,2,21089 08064 
1,2,7,16,1,10130 
1,2,8,5,1,07060 
1,2,8,7,1,10056 
1,2,8,9,2,17117 15010 
1,2,8,11,1,15138 
1,2,8,13,2,13111 03010 
1,2,8,14,1,13093 
1,2,8,16,1,09120 
1,2,9,3,1,11144 
1,2,9,4,1,04020 
1,2,9,5,1,18029 
1,2,9,6,1,18132 
1,2,9,10,1,09070 
1,2,9,12,4,20120 16051 12066 08064 
1,2,9,16,1,20085 
1,2,10,3,1,11144 
1,2,10,4,2,17042 12032 
1,2,10,6,1,18132 
1,2,10,7,4,18090 18050 15054 04001 
1,2,10,10,3,16020 14130 09070 
1,2,10,12,2,20120 04028 
1,2,10,14,1,09101 
1,2,10,15,1,17036 
1,2,10,16,1,10120 
1,2,11,2,1,13123 
1,2,11,8,1,14085 
1,2,11,9,1,17117 
1,2,11,11,1,21036 
1,2,11,12,1,11089 
1,2,11,14,2,16148 14026 
1,2,12,1,1,18107 
1,2,12,3,1,18081 
1,2,12,6,1,08061 
1,2,12,8,1,19073 
1,2,12,10,1,16020 
1,2,12,12,2,13027 08064 
1,2,12,13,1,14148 
1,2,12,16,1,09120 
1,2,13,7,2,12137 10056 
1,2,13,8,1,12039 
1,2,13,9,1,14121 
1,2,13,12,1,21089 
1,2,13,13,1,03010 
1,2,14,1,1,05052 
1,2,14,2,1,06119 
1,2,14,3,1,19014 
1,2,14,5,1,18029 
1,2,14,6,1,13039 
1,2,14,7,4,18090 16015 14032 03081 
1,2,14,8,1,11021 
1,2,14,9,1,17117 
1,2,14,15,1,09064 
1,2,15,1,1,09031 
1,2,15,2,1,11071 
1,2,15,3,1,05084 
1,2,15,4,2,20129 09106 
1,2,15,6,2,18132 13039 
1,2,15,11,1,13104 
1,2,15,12,1,16051 
1,2,15,13,1,14148 
1,2,15,14,1,17077 
1,2,15,16,1,10130 
1,2,16,3,2,18081 11144 
1,2,16,5,1,07060 
1,2,16,6,1,13019 
1,2,16,8,2,21134 19073 
1,2,16,11,1,15138 
1,2,16,12,2,12014 10013 
1,2,16,13,1,14148 
1,2,16,16,1,09120 
1,2,17,1,1,05052 
1,2,17,2,1,13123 
1,2,17,4,2,15073 12032 
1,2,17,7,1,12137 
1,2,17,8,1,03070 
1,2,17,9,1,17018 
1,2,17,10,1,16140 
1,2,17,11,1,13104 
1,2,17,13,2,18097 03010 
1,2,17,14,1,17077 
1,2,18,2,1,10022 
1,2,18,3,1,06026 
1,2,18,4,1,09106 
1,2,18,7,1,18050 
1,2,18,8,3,19073 11021 03070 
1,2,18,12,2,10013 08064 
1,2,18,14,1,07136 
1,2,19,3,2,19014 05084 
1,2,19,5,1,07060 
1,2,19,7,1,18050 
1,2,19,8,3,21134 14085 03070 
1,2,19,10,1,10052 
1,2,19,11,1,15138 
1,2,19,14,1,09101 
1,2,19,15,1,20070 
1,2,19,16,1,20085 
1,2,20,1,1,18107 
1,2,20,2,1,06119 
1,2,20,3,2,18081 05084 
1,2,20,4,1,09106 
1,2,20,6,1,13019 
1,2,20,9,1,06021 
1,2,20,13,1,18097 
1,2,20,14,1,16148 
1,2,21,9,3,17117 15010 06021 
1,2,21,10,1,09070 
1,2,21,11,1,21036 
1,2,21,12,1,13027 
1,2,21,14,1,07136 
1,2,21,15,1,20070 
1,2,21,16,1,10130 
1,2,22,1,1,18107 
1,2,22,2,1,11071 
1,2,22,3,1,06026 
1,2,22,4,3,15073 12032 04020 
1,2,22,5,1,18029 
1,2,22,6,1,18132 
1,2,22,7,3,16015 15054 14032 
1,2,22,8,1,12039 
1,2,22,9,2,14121 06021 
1,2,22,10,1,16020 
1,2,22,12,1,04028 
1,2,22,14,1,17077 
1,2,22,15,1,13096 
1,2,23,4,1,17042 
1,2,23,7,1,18090 
1,2,23,8,1,14085 
1,2,23,10,1,10052 
1,2,23,12,2,21089 10013 
1,2,23,14,1,14026 
1,2,23,15,1,09064 
1,2,24,3,1,11144 
1,2,24,4,1,12032 
1,2,24,6,1,13039 
1,2,24,10,2,16020 14130 
1,2,24,11,1,15138 
1,2,24,12,3,21089 13027 11089 
1,2,24,13,1,03010 
1,2,24,14,1,09101 
1,2,24,15,1,17036 
1,2,24,16,1,20085 
1,2,25,2,1,13123 
1,2,25,5,1,18029 
1,2,25,7,2,16015 04001 
1,2,25,8,2,21134 11021 
1,2,25,9,1,17018 
1,2,25,13,1,18097 
1,2,25,14,1,07136 
1,2,26,3,1,18081 
1,2,26,4,1,15073 
1,2,26,6,2,13019 08061 
1,2,26,7,3,16015 15054 03081 
1,2,26,10,1,16140 
1,2,26,11,1,21036 
1,2,26,12,1,12066 
1,2,26,14,2,16148 13093 
1,2,27,2,1,06119 
1,2,27,4,1,15073 
1,2,27,10,1,10052 
1,2,27,15,1,17036 
1,2,28,2,1,11071 
1,2,28,4,2,20129 04020 
1,2,28,9,1,14121 
1,2,28,11,1,13104 
1,2,28,12,1,12014 
1,2,28,13,1,18097 
1,2,28,15,2,13096 09064 
1,2,29,2,1,10022 
1,2,29,3,1,06026 
1,2,29,4,1,09106 
1,2,29,5,1,07060 
1,2,29,6,1,13039 
1,2,29,7,2,14032 03081 
1,2,29,8,2,14085 12039 
1,2,29,10,1,10052 
1,2,29,12,2,12066 11089 
1,2,29,14,2,13093 07136 
1,2,29,15,2,13096 09064 
1,2,29,16,1,10120 
1,2,30,1,2,09031 05052 
1,2,30,2,2,11071 06119 
1,2,30,7,1,03081 
1,2,30,9,1,14121 
1,2,30,10,2,14130 11134 
1,2,30,12,2,12014 11089 
1,2,30,14,1,16148 
1,2,30,15,1,13096 
1,2,30,16,1,09120 
1,2,31,2,1,10022 
1,2,31,4,1,04020 
1,2,31,6,1,08061 
1,2,31,8,2,21134 11021 
1,2,31,9,2,17018 15010 
1,2,31,10,2,11134 09070 
1,2,31,14,1,13093 
1,2,31,16,1,10130 
1,2,32,1,1,05052 
1,2,32,2,1,10022 
1,2,32,3,1,06026 
