RED1,RED2,RED3,RED4,OCCURRENCE,ISSUE
1,2,3,4,1,20120 
1,2,3,5,1,04028 
1,2,3,6,1,13111 
1,2,3,7,1,04001 
1,2,3,8,3,15010 13111 10056 
1,2,3,9,1,20120 
1,2,3,10,3,20120 04028 04001 
1,2,3,13,1,10056 
1,2,3,14,1,19014 
1,2,3,15,1,09031 
1,2,3,16,1,10013 
1,2,3,17,1,17018 
1,2,3,18,1,10013 
1,2,3,19,1,19014 
1,2,3,21,1,15010 
1,2,3,22,1,04028 
1,2,3,23,1,10013 
1,2,3,25,2,17018 04001 
1,2,3,30,1,09031 
1,2,3,31,2,17018 15010 
1,2,3,32,1,10056 
1,2,3,33,3,19014 13111 09031 
1,2,4,6,2,20070 12137 
1,2,4,7,1,17042 
1,2,4,9,2,20120 16051 
1,2,4,10,4,20120 18090 18050 17042 
1,2,4,12,1,13027 
1,2,4,13,1,12137 
1,2,4,14,1,18090 
1,2,4,15,3,17077 16051 13104 
1,2,4,17,4,17077 13104 12137 03070 
1,2,4,18,2,18050 03070 
1,2,4,19,3,20070 18050 03070 
1,2,4,21,2,20070 13027 
1,2,4,22,1,17077 
1,2,4,23,2,18090 17042 
1,2,4,24,1,13027 
1,2,4,28,1,13104 
1,2,4,33,1,16051 
1,2,5,6,2,14026 10120 
1,2,5,9,1,20085 
1,2,5,10,4,17036 10120 09101 04028 
1,2,5,11,1,14026 
1,2,5,12,3,18107 14148 08061 
1,2,5,13,1,12039 
1,2,5,15,2,20129 14148 
1,2,5,16,3,14148 13019 12014 
1,2,5,17,1,16140 
1,2,5,19,2,20085 09101 
1,2,5,20,3,18107 13019 06021 
1,2,5,21,1,06021 
1,2,5,22,4,18107 12039 06021 04028 
1,2,5,23,1,14026 
1,2,5,24,3,20085 17036 09101 
1,2,5,26,3,16140 13019 08061 
1,2,5,27,1,17036 
1,2,5,28,2,20129 12014 
1,2,5,29,2,12039 10120 
1,2,5,30,1,12014 
1,2,5,31,1,08061 
1,2,5,32,1,16140 
1,2,5,33,1,20129 
1,2,6,7,1,11134 
1,2,6,8,1,13111 
1,2,6,10,1,10120 
1,2,6,11,3,21036 14026 13123 
1,2,6,12,1,19073 
1,2,6,13,1,12137 
1,2,6,16,1,19073 
1,2,6,17,2,13123 12137 
1,2,6,18,1,19073 
1,2,6,19,1,20070 
1,2,6,21,2,21036 20070 
1,2,6,23,1,14026 
1,2,6,25,1,13123 
