RED1,RED2,RED3,RED4,RED5,OCCURRENCE,ISSUE
1,2,3,4,9,1,20120 
1,2,3,4,10,1,20120 
1,2,3,5,10,1,04028 
1,2,3,5,22,1,04028 
1,2,3,6,8,1,13111 
1,2,3,6,33,1,13111 
1,2,3,7,10,1,04001 
1,2,3,7,25,1,04001 
1,2,3,8,13,1,10056 
1,2,3,8,21,1,15010 
1,2,3,8,31,1,15010 
1,2,3,8,32,1,10056 
1,2,3,8,33,1,13111 
1,2,3,9,10,1,20120 
1,2,3,10,22,1,04028 
1,2,3,10,25,1,04001 
1,2,3,13,32,1,10056 
1,2,3,14,19,1,19014 
1,2,3,14,33,1,19014 
1,2,3,15,30,1,09031 
1,2,3,15,33,1,09031 
1,2,3,16,18,1,10013 
1,2,3,16,23,1,10013 
1,2,3,17,25,1,17018 
1,2,3,17,31,1,17018 
1,2,3,18,23,1,10013 
1,2,3,19,33,1,19014 
1,2,3,21,31,1,15010 
1,2,3,25,31,1,17018 
1,2,3,30,33,1,09031 
1,2,4,6,13,1,12137 
1,2,4,6,17,1,12137 
1,2,4,6,19,1,20070 
1,2,4,6,21,1,20070 
1,2,4,7,10,1,17042 
1,2,4,7,23,1,17042 
1,2,4,9,10,1,20120 
1,2,4,9,15,1,16051 
1,2,4,9,33,1,16051 
1,2,4,10,14,1,18090 
1,2,4,10,18,1,18050 
1,2,4,10,19,1,18050 
1,2,4,10,23,2,18090 17042 
1,2,4,12,21,1,13027 
1,2,4,12,24,1,13027 
1,2,4,13,17,1,12137 
1,2,4,14,23,1,18090 
1,2,4,15,17,2,17077 13104 
1,2,4,15,22,1,17077 
1,2,4,15,28,1,13104 
1,2,4,15,33,1,16051 
1,2,4,17,18,1,03070 
1,2,4,17,19,1,03070 
1,2,4,17,22,1,17077 
1,2,4,17,28,1,13104 
1,2,4,18,19,2,18050 03070 
1,2,4,19,21,1,20070 
1,2,4,21,24,1,13027 
1,2,5,6,10,1,10120 
1,2,5,6,11,1,14026 
1,2,5,6,23,1,14026 
1,2,5,6,29,1,10120 
1,2,5,9,19,1,20085 
1,2,5,9,24,1,20085 
1,2,5,10,19,1,09101 
1,2,5,10,22,1,04028 
1,2,5,10,24,2,17036 09101 
1,2,5,10,27,1,17036 
1,2,5,10,29,1,10120 
1,2,5,11,23,1,14026 
1,2,5,12,15,1,14148 
1,2,5,12,16,1,14148 
1,2,5,12,20,1,18107 
1,2,5,12,22,1,18107 
1,2,5,12,26,1,08061 
1,2,5,12,31,1,08061 
1,2,5,13,22,1,12039 
1,2,5,13,29,1,12039 
1,2,5,15,16,1,14148 
1,2,5,15,28,1,20129 
1,2,5,15,33,1,20129 
1,2,5,16,20,1,13019 
1,2,5,16,26,1,13019 
1,2,5,16,28,1,12014 
1,2,5,16,30,1,12014 
1,2,5,17,26,1,16140 
1,2,5,17,32,1,16140 
1,2,5,19,24,2,20085 09101 
1,2,5,20,21,1,06021 
1,2,5,20,22,2,18107 06021 
1,2,5,20,26,1,13019 
1,2,5,21,22,1,06021 
1,2,5,22,29,1,12039 
1,2,5,24,27,1,17036 
1,2,5,26,31,1,08061 
1,2,5,26,32,1,16140 
1,2,5,28,30,1,12014 
1,2,5,28,33,1,20129 
1,2,6,7,30,1,11134 
1,2,6,7,31,1,11134 
1,2,6,8,33,1,13111 
1,2,6,10,29,1,10120 
1,2,6,11,17,1,13123 
1,2,6,11,21,1,21036 
1,2,6,11,23,1,14026 
1,2,6,11,25,1,13123 
1,2,6,11,26,1,21036 
1,2,6,12,16,1,19073 
1,2,6,12,18,1,19073 
1,2,6,13,17,1,12137 
1,2,6,16,18,1,19073 
1,2,6,17,25,1,13123 
1,2,6,19,21,1,20070 
1,2,6,21,26,1,21036 
1,2,6,30,31,1,11134 
1,2,7,9,12,1,08064 
1,2,7,9,18,1,08064 
1,2,7,10,22,1,15054 
1,2,7,10,23,1,17042 
1,2,7,10,25,1,04001 
1,2,7,10,26,1,15054 
1,2,7,12,18,1,08064 
1,2,7,13,23,1,21089 
1,2,7,13,24,1,21089 
1,2,7,15,19,1,05084 
1,2,7,15,20,1,05084 
1,2,7,15,21,1,10130 
1,2,7,15,31,1,10130 
1,2,7,19,20,1,05084 
1,2,7,21,31,1,10130 
1,2,7,22,26,1,15054 
1,2,7,23,24,1,21089 
1,2,7,30,31,1,11134 
1,2,8,11,14,1,17117 
1,2,8,11,21,1,17117 
1,2,8,12,16,1,09120 
1,2,8,12,30,1,09120 
1,2,8,13,17,1,03010 
1,2,8,13,24,1,03010 
1,2,8,13,32,1,10056 
1,2,8,14,21,1,17117 
1,2,8,16,19,2,15138 07060 
1,2,8,16,24,1,15138 
1,2,8,16,29,1,07060 
1,2,8,16,30,1,09120 
1,2,8,17,24,1,03010 
1,2,8,19,24,1,15138 
1,2,8,19,29,1,07060 
1,2,8,21,31,1,15010 
1,2,8,26,29,1,13093 
1,2,8,26,31,1,13093 
1,2,8,29,31,1,13093 
1,2,9,10,15,1,18132 
1,2,9,10,16,1,11144 
1,2,9,10,21,1,09070 
1,2,9,10,22,1,18132 
1,2,9,10,24,1,11144 
1,2,9,10,31,1,09070 
1,2,9,12,18,1,08064 
1,2,9,14,22,1,18029 
1,2,9,14,25,1,18029 
1,2,9,15,22,1,18132 
1,2,9,15,33,1,16051 
1,2,9,16,24,1,11144 
1,2,9,19,24,1,20085 
1,2,9,21,31,1,09070 
1,2,9,22,25,1,18029 
1,2,9,22,28,1,04020 
1,2,9,22,31,1,04020 
1,2,9,26,29,1,12066 
1,2,9,26,33,1,12066 
1,2,9,28,31,1,04020 
1,2,9,29,33,1,12066 
1,2,10,12,22,1,16020 
1,2,10,12,24,1,16020 
1,2,10,14,23,1,18090 
1,2,10,15,22,1,18132 
1,2,10,16,24,1,11144 
1,2,10,17,22,1,12032 
1,2,10,17,24,1,12032 
1,2,10,18,19,1,18050 
1,2,10,19,24,1,09101 
1,2,10,21,31,1,09070 
1,2,10,22,24,2,16020 12032 
1,2,10,22,26,1,15054 
1,2,10,24,27,1,17036 
1,2,10,24,30,1,14130 
1,2,10,24,33,1,14130 
1,2,10,30,33,1,14130 
1,2,11,14,21,1,17117 
1,2,11,17,25,1,13123 
1,2,11,19,23,1,14085 
1,2,11,19,29,1,14085 
1,2,11,20,26,1,16148 
1,2,11,20,30,1,16148 
1,2,11,21,26,1,21036 
1,2,11,23,29,1,14085 
1,2,11,24,29,1,11089 
1,2,11,24,30,1,11089 
1,2,11,26,30,1,16148 
1,2,11,29,30,1,11089 
1,2,12,15,16,1,14148 
1,2,12,16,18,1,19073 
1,2,12,16,20,1,18081 
1,2,12,16,26,1,18081 
1,2,12,16,30,1,09120 
1,2,12,20,22,1,18107 
1,2,12,20,26,1,18081 
1,2,12,21,24,1,13027 
1,2,12,22,24,1,16020 
1,2,12,26,31,1,08061 
1,2,13,17,24,1,03010 
1,2,13,22,28,1,14121 
1,2,13,22,29,1,12039 
1,2,13,22,30,1,14121 
1,2,13,23,24,1,21089 
1,2,13,28,30,1,14121 
1,2,14,15,24,1,13039 
1,2,14,15,29,1,13039 
1,2,14,17,30,1,05052 
1,2,14,17,32,1,05052 
1,2,14,18,25,1,11021 
1,2,14,18,31,1,11021 
1,2,14,19,33,1,19014 
1,2,14,20,27,1,06119 
1,2,14,20,30,1,06119 
1,2,14,22,25,2,18029 16015 
1,2,14,22,26,1,16015 
1,2,14,22,29,1,14032 
1,2,14,22,33,1,14032 
1,2,14,23,28,1,09064 
1,2,14,23,29,1,09064 
1,2,14,24,29,1,13039 
1,2,14,25,26,1,16015 
1,2,14,25,31,1,11021 
1,2,14,26,29,1,03081 
1,2,14,26,30,1,03081 
1,2,14,27,30,1,06119 
1,2,14,28,29,1,09064 
1,2,14,29,30,1,03081 
1,2,14,29,33,1,14032 
1,2,14,30,32,1,05052 
1,2,15,17,22,1,17077 
1,2,15,17,28,1,13104 
1,2,15,18,20,1,09106 
1,2,15,18,29,1,09106 
1,2,15,19,20,1,05084 
1,2,15,20,29,1,09106 
1,2,15,21,31,1,10130 
1,2,15,22,28,1,11071 
1,2,15,22,30,1,11071 
1,2,15,24,29,1,13039 
1,2,15,28,30,1,11071 
1,2,15,28,33,1,20129 
1,2,15,30,33,1,09031 
1,2,16,18,23,1,10013 
1,2,16,19,24,1,15138 
1,2,16,19,25,1,21134 
1,2,16,19,29,1,07060 
1,2,16,19,31,1,21134 
1,2,16,20,26,2,18081 13019 
1,2,16,25,31,1,21134 
1,2,16,28,30,1,12014 
1,2,17,18,19,1,03070 
1,2,17,20,25,1,18097 
1,2,17,20,28,1,18097 
1,2,17,22,24,1,12032 
1,2,17,22,26,1,15073 
1,2,17,22,27,1,15073 
1,2,17,25,28,1,18097 
1,2,17,25,31,1,17018 
1,2,17,26,27,1,15073 
1,2,17,26,32,1,16140 
1,2,17,30,32,1,05052 
1,2,18,20,29,1,09106 
1,2,18,21,25,1,07136 
1,2,18,21,29,1,07136 
1,2,18,22,29,1,06026 
1,2,18,22,32,1,06026 
1,2,18,25,29,1,07136 
1,2,18,25,31,1,11021 
1,2,18,29,31,1,10022 
1,2,18,29,32,2,10022 06026 
1,2,18,31,32,1,10022 
1,2,19,23,27,1,10052 
1,2,19,23,29,2,14085 10052 
1,2,19,25,31,1,21134 
1,2,19,27,29,1,10052 
1,2,20,21,22,1,06021 
1,2,20,25,28,1,18097 
1,2,20,26,30,1,16148 
1,2,20,27,30,1,06119 
1,2,21,25,29,1,07136 
1,2,22,25,26,1,16015 
1,2,22,26,27,1,15073 
1,2,22,28,29,1,13096 
1,2,22,28,30,3,14121 13096 11071 
1,2,22,28,31,1,04020 
1,2,22,29,30,1,13096 
1,2,22,29,32,1,06026 
1,2,22,29,33,1,14032 
1,2,23,27,29,1,10052 
1,2,23,28,29,1,09064 
1,2,24,29,30,1,11089 
1,2,24,30,33,1,14130 
1,2,26,29,30,1,03081 
1,2,26,29,31,1,13093 
1,2,26,29,33,1,12066 
1,2,28,29,30,1,13096 
1,2,29,31,32,1,10022 
1,3,4,5,8,1,07087 
1,3,4,5,21,1,07087 
1,3,4,6,7,1,07059 
1,3,4,6,16,1,06151 
1,3,4,6,17,1,11037 
1,3,4,6,21,1,05027 
1,3,4,6,22,1,06151 
1,3,4,6,25,1,11037 
1,3,4,6,29,1,07059 
1,3,4,6,32,1,05027 
1,3,4,7,29,1,07059 
1,3,4,8,21,1,07087 
1,3,4,8,25,1,14034 
1,3,4,8,31,1,14034 
1,3,4,9,10,1,20120 
1,3,4,10,18,1,17067 
1,3,4,10,29,1,17067 
1,3,4,11,18,1,17023 
1,3,4,11,19,1,18049 
1,3,4,11,22,1,17023 
1,3,4,11,23,1,18049 
1,3,4,16,22,1,06151 
1,3,4,17,25,1,11037 
1,3,4,18,22,1,17023 
1,3,4,18,29,1,17067 
1,3,4,19,23,1,18049 
1,3,4,21,32,1,05027 
1,3,4,23,31,1,15106 
1,3,4,23,32,1,15106 
1,3,4,25,31,1,14034 
1,3,4,31,32,1,15106 
1,3,5,8,14,1,04116 
1,3,5,8,21,1,07087 
1,3,5,8,33,1,04116 
1,3,5,10,22,1,04028 
1,3,5,12,21,1,11070 
1,3,5,12,28,1,11070 
1,3,5,13,16,1,11006 
1,3,5,13,18,1,11006 
1,3,5,14,33,1,04116 
1,3,5,16,18,1,11006 
1,3,5,18,22,2,21081 04015 
1,3,5,18,23,2,21081 04015 
1,3,5,20,21,1,15072 
1,3,5,20,25,1,11111 
1,3,5,20,27,1,11111 
1,3,5,20,31,1,15072 
1,3,5,21,28,1,11070 
1,3,5,21,31,1,15072 
1,3,5,22,23,2,21081 04015 
1,3,5,25,27,1,11111 
1,3,6,7,9,1,21020 
1,3,6,7,11,1,21020 
1,3,6,7,29,1,07059 
1,3,6,8,33,1,13111 
1,3,6,9,11,1,21020 
1,3,6,9,19,1,19079 
1,3,6,9,31,1,19079 
